"","Marker","Gene.Symbol","gene_id","Ensembl.Gene.ID","A039981","A039974","A039962","A039968","A039980","A039953","A039961","A039978","A039952","A039969","A039958","A039976","A039971","A039973","A039977","A039959","A039972","A039956","A039970","A039975","A039966","A040093","A040095","A040096","A006746","A040098","A040100","A040105","A040106","A040107","A040108","A040109","A040111","A040112","A040113","A040114","A039967","A040104","A049252","A049247","A049250","A049233","A049246","A049236","A049237","A049229","A049248","A049227","A049242","A049243","A049239","A049231","A049244","A049245","A006690","A006748","A006747","A006745","A008279","A008282","A008275","A008280","A008283","A008289","A008273","A008286","A008287","A008277","A008278","A008281","A008288","A010857","A010845","A010850","A010844","A010848","A010849","A010853","A010858","A010912","A008274","A028339","A028331","A028332","A028340","A028334","A028333","A028335","A028337","A029219","A029218","A029215","A029224","A029228","A029225","A029220","A029229","A029214","A029217","A029221","A029222","A029227","A030210","A030204","A030205","A030207","A030212","A030213","A030206","A030214","A030992","A030981","A030982","A030996","A030997","A032148","A030983","A030985","A030986","A032142","A032147","A030984","A030987","A030991","A030995","A032139","A032149","A030988","A030989","A030990","A030993","A030994","A031000","A032145","A032154","A030999","A032137","A032143","A033913","A033914","A033912","A033915","A033916","A033917","A033918","A035447","og_Marker"
"16","CD20","MS4A1","ENSG00000156738.17","ENSG00000156738",129,121,107,5418,0,1466,1405,31,96,7134,3030,3395,6000,4760,786,6450,14596,17,1214,838,44,14,165,295,6571,151,1386,672,264,340,331,3126,209,375,28,512,65,4428,602,39,118,101,16,586,112,4716,31,6,473,194,22089,112,83,389,17792,1173,180,277,1828,2119,263,268,150,14431,386,2655,3284,1365,739,29055,1901,38,94,736,15529,334,2102,27255,631,73,39,245,342,212,4689,30300,19633,70817,840,9341,17213,7655,5,78713,24748,5270,15802,10432,4230,6760,10851,6935,23822,155,22425,47415,3953,3884,24662,3097,411,16,60677,954,13887,12118,0,2,556,2546,17610,16,23,3372,368,11445,6428,44785,31107,3305,1103,721,1397,3271,6749,377,26581,16287,7320,4,1780,119,123,198,1292,23814,"CD20"
"17","CD117","KIT","ENSG00000157404.15","ENSG00000157404",925,3007,17915,25,3950,5249,116,7523,5766,9,35,3753,0,6,6229,112,6,151,3569,2,1089,23,11541,57,8157,12597,61,901,2222,1565,697,251,4378,351,1718,1767,775,26,2240,415,10496,394,276,20,142,6879,2481,859,181,5672,70,51,13,10872,420,13511,28082,6821,350,3784,25188,14464,4804,26,2687,22841,6,7,15744,15,2,59,490,9332,4,18,64,0,5,1327,2324,220,4947,1811,126,9,12,15,12727,35,15,182,105,13,29,56,82,25,32,46,16,25,86,41,49,27,404,5,39,134,1234,661,37,9041,34,109,85,553,152,422,53,80,1199,3520,4637,38,1657,261,3,3411,49248,27275,6075,99,13,5442,63,57,14605,29098,1159,203,8878,2431,123,8,"CD117"
"18","CD1","CD1A","ENSG00000158477.7","ENSG00000158477",37,0,7,25,0,0,107,0,0,12,19,54,0,10,163,45,5,131,40,42,2,0,0,5,43,2,0,5,6,80,16,38,20,112,0,3,0,24,2,0,2,0,0,5,5,19,0,3,9,10,76,6899.56,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,178.04,9,31,0,1,0,6,10,0,0,1,15,17,18,19,1,0,5,1,1,3,55,7,2,32,2,8,74,31,0,27,11,1,36,29,0,0,73,0,0,0,10,19,0,2118,11,11,124,0,9,10,105,0,8,28,14,60,0,72.68,36,0,124,16,21,"CD1"
"19","CD13","ANPEP","ENSG00000166825.14","ENSG00000166825",17310,7997,2400,482,20867,14678,8717,3716,2420,556,570,2496,121,380,26156,2090,63,13424,4470,20,3351,7466,4578,1802,3228,1226,85,365,3114,2709,2765,94,6340,4319,6243,3925,4758,2205,1620,546,731,8469,1763,1201,4761,3874,7762,1323,179,579,432,146,327,13463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,7025,6696,4762,295,552,528,15538,881,266,466,211,232,787,3193,1328,329,887,929,321,2276,1607,4200,1322,410,299,433,767,950,1046,250,1620,6739,89,2096,1257,448,2460,1193,656,896,219,1809,4911,255,2002,792,29,10971,3812,2132,10052,8067,13,12170,2316,1132,20131,5640,3565,307,6816,2693,566,250,"CD13"
"20","CD3","CD3D","ENSG00000167286.9","ENSG00000167286",1876,484,1917,688,9766,627,25925,98,5639,964,1581,12643,254,976,4210,4460,712,18873,1364,1437,4215,864,1513,976,14222,1344,351,8111,3346,726,847,2367,2572,15272,305,2031,1655,1334,1747,42,231,1109,450,756,320,1888,84,45,5642,1012,1761,30647,1017,8940,2610,6401,1413,2525,438,3999,636,296,38916,2140,2915,18643,3177,456,2811,1591,1628,17551,440,6165,1949,46341,16635,410,43764,159,9507,7956,2175,218,5705,461,812,890,1872,2871,751,1787,6010,1290,1631,5613,15973,3424,816,1054,2393,4259,4833,259,5831,2616,837,85,1085,112955,27326,44,4179,9797,798,7152,380,30,1145,1270,3641,97,337,10543,1446,314,12807,2240,1531,3422,1430,2072,5096,17079,102,3048,5347,29573,2533,113,832,884,606,365,798,1559,"CD3"
"21","CD11b","ITGAM","ENSG00000169896.18","ENSG00000169896",17217,1319,1788,978,1303,3183,9684,6214,1342,1730,2272,2137,1489,1280,17775,5718,144,14223,18972,375,3791,2487,520,3545,6090,4845,135,1341,5256,2105,6074,734,15258,9684.08,6900,1815,1140,7556,2181,1198,1560,2548,296.26,3236,1651,2720,3312.39,669,2917,2371.31,1599,298.4,409,2003.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248.44,5997,22789,7094,446,2951,839,1783,1977,4628,2429.66,1620,1680,2417,8769,6601,4453,1674,1149,14065,7037,3999,56677,1736,1688,135,2134,3197,10497,3664,322,3597,1398,826,5325,2139,128,6282,1870,1268,3961,932,538,16088,553,2182,1836,3435,16310,554,4348,1797,10538,200,1523,5073,8005,36805,343,47190,937,1207,34510,892,1101,"CD11b"
"22","CD14","CD14","ENSG00000170458.14","ENSG00000170458",8142,8,58,36,27,16,6546,694,49,204,1089,557,82,149,12040,1783,44,10290,6714,10,575,857,75,155,781,290,83,20,162,188,3401,47,5321,2740,3021,290,10,1416,58,8,4,26,14,104,20,205,549,25,18,357,74,55,6,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,294,2547,3294,38,123,668,1433,210,25,244,426,259,764,7556,2565,1282,1225,357,264,1303,1472,35203,959,298,249,235,527,6420,1444,36,1106,236,34,4930,1030,31,969,324,175,45,17,25,2865,30,1112,299,68,22023,88,894,744,5842,15,232,2889,1606,6722,10,11604,36,99,19901,160,400,"CD14"
"23","CD7","CD7","ENSG00000173762.8","ENSG00000173762",407,132,138,212,296,256,2098,51,725,116,169,1478,20,166,484,575,55,1262,228,210,648,175,175,362,926,194,22,1531,498,97,79,175,806,5306,128,180,113,101,345,17,76,158,247,155,55,267,107,110,884,1167,92,1557,79,814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1033,252,267,532,291,99,63,54,219,122,1004,534,202,220,655,936,315,126,158,207,326,637,29,192,78,63,40,76,2840,747,0,204,424,50,522,15,0,31,191,234,0,43,704,676,61,227,83,53,963,130,358,623,779,29,428,366,787,200,159,193,84,880,119,142,35,"CD7"
"24","CD34","CD34","ENSG00000174059.17","ENSG00000174059",63,544,6273,10670,468,7038,9,449,25,28,3,561,0,2,7421,1,2,25,35,53,19,32,31534,8,4916,4839,13,30,3394,1429,87,132,912,70,2684,1792,30,1,1948,0,9,10,414,75018,59,18836,807,174,249,2923,355,116,3504,11238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,14907,240,14,2,6,22,48398,2,3,9,5,11,10,15,94,10,18,1,4,1,25,10,44,17,55510,16,20,22,1100,226,36,69897,23,26,496,570,217,67,10,6,924,4848,16836,1,10424,196,29,1674,46789,7148,29725,48,4,26518,28,6,4610,29190,53,308,18103,1118,103,9,"CD34"
"25","CD19","CD19","ENSG00000177455.14","ENSG00000177455",230,100,45,13158,86,546,497,39,63,10189,9621,836,6268,8479,286,5271,8542,22,275,4319,43,636,619,583,1125,67,2360,145,288,133,136,1900,186,334,16,138,94,4341,307,38,74,88,14,4504,27,2972,75,358,466,114,3276,56,4393,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,82,64,13249,16961,15058,16232,228,14622,44385,43119,6,59942,17515,9463,13113,2713,4180,5700,4068,10696,17078,28,16348,14848,14040,7859,15649,532,183,600,24343,704,9441,23827,145,0,130,99,15742,0,31,792,189,6835,2861,17505,21816,2369,334,1998,631,8714,12172,174,14545,17421,1776,46,303,15502,76,87,27602,17855,"CD19"
"26","CD23","FCER2","ENSG00000179639.10","ENSG00000179639",1406,2,518,17,1006,491,385,10,431,21,47,533,1,42,4533,736,18,498,1162,0,119,142,8,4,1167,3261,12,45,1710,1026,553,44,2963,520,1047,1013,148,223,458,0,30,385,14,9,554,1571,21,0,49,38,10,43,10,197,4,2851,396,666,122,210,824,30,4,161,4290,5154,124,91,2831,24,2,1928,589,694,69,125,1518,1,63,28,8432,16,14495,42,1230,3,43,31,969,61,0,102,5,2,374,421,301,70,17,21,19,131,132,15,111,21,32,1,111,719,1390,1,252,4877,46,882,49,73,185,2137,14,12,81,2913,3094,3,15802,147,7,2699,17642,1734,13884,1960,3,85,848,430,927,909,750,10,1649,558,44,263,"CD23"
"27","TCR.alpha.beta","TRAC","ENSG00000183337.17","ENSG00000183337",13960,8991,1522,11478,5469,21078,8774,4849,43218,15834,15429,7295,8741,8988,6998,12416,12491,7134,9892,13118,15565,1000,10982,1308,10012,8341,17853,11015,7774,6533,3208,3085,10019,10253,12858,4495,1856,8442,4281,8769,17459,1449,2435,7121,11535,13364,6739,1513,4849,7108,10197,11912,15883,9041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2517,13870,12539,44040,10981,25069,16780,10297,19953,11196,8890,4193,10431,20261,20970,19235,17027,21623,22335,24895,27400,16955,11357,35294,21249,15902,9781,33837,23325,3805,1154,30234,19282,12014,28457,905,454,8361,2074,16896,1102,1023,3663,2916,10923,8797,29066,24320,11043,17442,8508,21381,20127,11968,48241,25372,23677,23983,20983,13961,34991,45655,11752,37415,2870,"TCR alpha/beta"
"28","CD10","MME","ENSG00000196549.10","ENSG00000196549",5,7,71,72479,36,32,117,12,11,1,6,95,1,5,838,33,1,23,11,66,37,15,9,142,134,24,3513,10,719,71,119,436,53,63,15,107,0,107,31,52,2316,0,21,101548,151,102,141,22,46531,0,20118,10100,1,14,42,55,49,5,9,256,17,85,67,98,51,188,23,12,33,183252.94,30,194,952,2907,25,89,76,17,23,7,60,24,12,15,34,7,20,90,24,25,58,78,39,30,15,26,27,18,24,4,10,13,20,43,28,15,67567.63,25,110,56,81,64,31,40,6,49,472,103,295,309,55,58,10,108,371,32,39766,11,20,75,22,357,97,76,12,29,25,32,441,31,52,4,54,47,50340.97,19,"CD10"
"29","HLA.DR","HLA-DRA","ENSG00000204287.14","ENSG00000204287",49145,2675,1741,60170,831,1599,63841,15038,14377,98203,80281,25404,106890,104581,155785,74985,93360,119453,56349,27463,14845,14094,29359,1709,34893,8567,25572,7678,15947,8709,10750,15847,126655,21469,27431,3484,923,95657,9714,502,231,584,4986,147286,565,68555,12500,5785,26904,16208,7612,1758,23561,11092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1670,109334,12753,153131,44163,169784,57461,55348,38056,64783,87024,6922,42457,129867,144316,88936,165840,144956,112868,67562,100504,52419,49647,152176,153032,62162,78761,123058,55462,27479,9265,243010,68744,183393,239343,23114,8368,6715,13971,48286,895,11021,14502,153133,38812,52915,157110,148530,145638,73443,63614,53220,129808,131931,53939,177238,179354,12718,60632,73629,42652,36698,66394,85709,213119,"HLA-DR"
"30","TCR.gamma.delta","TRDC","ENSG00000211677.2","ENSG00000211677",290119.16,56730.15,198229.41,3607.71,9442.12,6903.6,11015.55,3106.67,3226.91,21226.08,32715.1,11866.73,20169.36,6922.65,12925.4,1324.21,11038.66,187.78,11731.56,5797.87,34310.51,3408.93,6148.46,52151.52,56033.72,5615.92,2379.92,29863.53,25460.39,41165.23,3086.82,196568.3,25131.98,9042.72,30721.74,29268.27,7413.56,200021.94,4630.85,1334.71,888.44,3521.55,952.29,2192.17,766.78,34344.9,1159.73,17384.06,28745.83,33881.46,581.28,31751.51,7777.81,6291.45,577496.28,10548.08,29812.42,26989.21,47589.11,69984.71,1467.69,2912.39,1426.31,591478.81,1867.52,9896.13,35200.05,106585.02,77076.68,9980.31,667.92,235.95,5434.18,7113.34,4215,1072.03,10477.82,7304.27,719.15,1349.89,15034.39,67340.5,2946.35,606.86,52725.36,342.45,457415.18,8444.81,4391.06,12316.11,2894.32,71967.86,9164.53,119777.38,4096.4,120304.13,42235.02,11750.1,3355.83,5421.91,3616.26,3441.87,3480.11,2602.99,28556.91,21559.84,64753.71,17712.04,1239460.87,11794.67,78319.14,22766.16,18326,248341.01,11820.81,814064.54,1170.77,135995.34,8936.33,25260.8,2193.93,845.9,1806.47,28352,22382.13,343991.48,133393,54159.77,798867.57,13416.93,22298.72,1335072.26,55540.96,52860.32,870.99,24063.69,80122.66,10769.37,237308.49,3546.09,29689.84,9303.89,28949.38,7051.91,24073.71,155429.22,"TCR gamma/delta"
"31","Cytoplasmic.Kappa","IGKC","ENSG00000211896.7","ENSG00000211896",1107632.08,251968.38,1781019.3,11312.8,76680.67,78375.04,13028.11,3420.66,4062,11701.23,98016.52,10922.77,9491.38,25275.83,19837.25,8182.29,48067.36,98.87,13505.71,1983.94,251549.58,6136.77,38209.31,247348.84,339857.37,22483.4,90846.36,261920.42,75826.38,248942.35,20470.67,1416488.7,167210.5,8083.89,124130.16,175618.08,10566.62,612205.28,8247.75,15214.27,2699.41,22797.23,6438.78,2295.56,135.51,182404.65,2440.01,157082.08,44920.88,424953.19,1887.67,42383.55,18274.07,2943.13,249922.97,3260.93,25407.26,47232.67,196214.57,41886.51,1143.79,887.65,1012.15,8415.05,431.9,11690.33,41345.29,1205.01,70895.74,13322.05,5788.41,213.54,4875.25,7651.36,2271.74,898.17,4424.81,71404.77,7955.98,1664.07,12987.62,71456.65,3186.6,678.63,9144.77,52038.51,3312.89,22989.39,5217.46,16430.14,72902.95,31320.88,2958.16,290076.39,70786.27,42952.69,60704.93,18030.14,11522.31,38328.71,52246.61,10646.99,24858.09,4225.52,37695.67,40465.59,190332.66,3223.08,5294.11,6596.56,39891.78,53174.48,68387.46,27302.66,35008.37,115038.97,1034.42,212069.07,16299.31,25825.17,12133.55,2303.71,382.81,32535.92,9294.87,11900.49,845317.33,41535.61,7311.8,3923.4,22271.16,3773546.25,40159.47,14576.64,8518.85,17269.61,21559.9,25600.99,260436.8,14107.59,42269.26,13463.53,95030.78,11800.44,18667.17,8353.48,"Cytoplasmic Kappa"
"32","Slg","IGHM","ENSG00000211899.10","ENSG00000211899",56889,60046,40734,153459,5616,49263,55539,9598,83620,1810188,1502260,212937,2443652,1704021,81980,1515212,218278,1621,54874,229459,28837,11103,19008,13578,173631,14754,98580,73142,40393,22117,19647,77037,97324,43976,44510,26976,17631,121331,13580,5406,7947,8173,11743,17523,4843,53916,22993,25582,161108,12349,133533,23350,129816,23366,663546,13075,11392,5302,33598,21826,5279,10326,16469,1421802,6786,58943,1208103,606058,37472,141073,582537,332,3763,57147,175924,3369,33249,721265,1981,5978,20684,7532,22222,1958,2384822,711816,1130551,928263,5541,691599,852695,627292,11724,245,697053,1034717,624138,333015,508663,1265640,837902,1910604,949736,5637,1820248,2261648,17623,725881,2296948,48819,14214,5553,2592174,104487,1076347,1050539,5075,11872,3676,5368,500041,820,3089,78571,53067,459019,98995,2191302,2267574,148443,64753,281810,91997,492743,511440,89893,1536927,1208494,304891,36373,32915,313839,76352,10179,546263,214095,"sIg"
"33","Cytoplasmic.Lambda","IGLC1","ENSG00000211961.3","ENSG00000211961",12,0,276,0,0,8,4,0,0,0,0,17,2,0,1,1,0,0,0,0,8,0,1,117,46,0,0,29,0,0,0,258,25,5,0,57,0,0,3,0,0,0,0,5,1,8,0,0,1,0,7,36,1,7,1,9,8,1,113,126,0,0,0,2,1,7,0,4,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,13,1,0,0,3,1,1,0,1,0,0,18,8,28,0,0,10,2,8,0,3.16,0,4,0,0,49,0,0,13,0,0,1,0,0,0,47,0,0,0,18,4,0,0,0,0,13,1,402,65,0,0,4,4,2,38,0,11,4,0,0,5,1,"Cytoplasmic Lambda"
